CourseID,ReadStat,Rate1,Rate2,Rate3,Rate4,Rate5,Sum,NewEnrolled,UpdateDate,Upd_monthes,Orig_Price,Curr_Price,Discount,Time
1070968, OK,11,5,16,25,32,89,2472, 2/2017,41,799.99,479.99,40, 2020-07-09 13:34:04 
1113822, OK,38,63,240,467,561,1369,4100, 7/2017,36, NaN, NaN, NaN , 2020-07-09 13:34:06 
1006314, OK,16,23,87,216,242,584,5005, 4/2020,3,379.99,227.99,40, 2020-07-09 13:34:08 
1210588, NoRates, NaN, NaN, NaN, NaN, NaN, NaN    ,16648, 0/0, NaN ,0,0,0, 2020-07-09 13:34:10 
1011058, OK,0,3,8,28,61,100,1800, 6/2020,1,799.99,479.99,40, 2020-07-09 13:34:12 
192870, NoRates, NaN, NaN, NaN, NaN, NaN, NaN    , NaN , 0/0, NaN , NaN, NaN, NaN , 2020-07-09 13:34:14 
739964, NoRates, NaN, NaN, NaN, NaN, NaN, NaN    , NaN , 0/0, NaN , NaN, NaN, NaN , 2020-07-09 13:34:16 
403100, NoRates, NaN, NaN, NaN, NaN, NaN, NaN    , NaN , 0/0, NaN , NaN, NaN, NaN , 2020-07-09 13:34:18 
476268, NoRates, NaN, NaN, NaN, NaN, NaN, NaN    , NaN , 0/0, NaN , NaN, NaN, NaN , 2020-07-09 13:34:19 
1167710, OK,0,2,4,16,19,41,1044, 4/2017,39,799.99,479.99,40, 2020-07-09 13:34:21 
592338, OK,12,13,39,72,172,308,12483, 9/2015,58,799.99,479.99,40, 2020-07-09 13:34:23 
975046, OK,0,4,12,23,50,89,1746, 6/2020,1,799.99,479.99,40, 2020-07-09 13:34:25 
742602, OK,3,3,3,11,28,48,3714, 2/2016,53,119.99,71.99,40, 2020-07-09 13:34:26 
794151, NoRates, NaN, NaN, NaN, NaN, NaN, NaN    ,12769, 9/2019,10,0,0,0, 2020-07-09 13:34:28 
1196544, NoRates, NaN, NaN, NaN, NaN, NaN, NaN    , NaN , 0/0, NaN , NaN, NaN, NaN , 2020-07-09 13:34:29 
504036, NoRates, NaN, NaN, NaN, NaN, NaN, NaN    , NaN , 0/0, NaN , NaN, NaN, NaN , 2020-07-09 13:34:31 
719698, OK,1,2,17,37,40,97,4987, 2/2016,53,79.99,47.99,40, 2020-07-09 13:34:33 
564966, OK,8,10,31,66,176,291,3745, 6/2020,1,799.99,479.99,40, 2020-07-09 13:34:35 
606928, NoRates, NaN, NaN, NaN, NaN, NaN, NaN    , NaN , 0/0, NaN , NaN, NaN, NaN , 2020-07-09 13:34:36 
58977, OK,3,2,23,83,180,291,8126, 6/2013,85, NaN, NaN, NaN , 2020-07-09 13:34:38 
1242604, NoRates, NaN, NaN, NaN, NaN, NaN, NaN    , NaN    , 0/0, NaN , NaN, NaN, NaN , 2020-07-09 13:34:39 
798740, OK,11,2,8,51,69,141,2508, 7/2018,24,799.99,479.99,40, 2020-07-09 13:34:42 
506568, OK,24,12,32,38,45,151,15204, 11/2019,8,299.99,179.99,40, 2020-07-09 13:34:44 
1020760, OK,0,0,7,11,24,42,2016, 12/2016,43, NaN, NaN, NaN , 2020-07-09 13:34:46 
859742, OK,32,31,111,259,331,764,4537, 5/2020,2,399.99,239.99,40, 2020-07-09 13:34:48 
383414, OK,58,121,550,1624,2047,4400,24047, 6/2020,1,599.99,359.99,40, 2020-07-09 13:34:50 
353044, OK,51,80,263,530,904,1828,11679, 6/2020,1,799.99,479.99,40, 2020-07-09 13:34:52 
447362, OK,16,26,64,154,336,596,7424, 6/2019,13,699.99,419.99,40, 2020-07-09 13:34:54 
831066, NoRates, NaN, NaN, NaN, NaN, NaN, NaN    , NaN    , 0/0, NaN , NaN, NaN, NaN , 2020-07-09 13:34:56 
1266306, OK,3,15,82,364,870,1334,4998, 6/2020,1,559.99,335.99,40, 2020-07-09 13:34:58 
1170894, OK,27,16,85,178,200,506,3866, 5/2020,2,799.99,479.99,40, 2020-07-09 13:35:00 
948974, OK,20,7,32,64,144,267,2311, 3/2017,40,799.99,479.99,40, 2020-07-09 13:35:02 
380970, OK,42,58,218,629,910,1857,27119, 5/2020,2,399.99,239.99,40, 2020-07-09 13:35:04 
1217778, OK,2,2,7,14,16,41,1223, 6/2017,37,799.99,479.99,40, 2020-07-09 13:35:06 
1246208, OK,3,3,10,8,22,46,4862, 11/2019,8,79.99,47.99,40, 2020-07-09 13:35:08 
434774, OK,26,8,45,73,150,302,17672, 1/2020,6,779.99,467.99,40, 2020-07-09 13:35:10 
308690, OK,127,212,1261,4692,9655,15947,63999, 7/2020,0,779.99,467.99,40, 2020-07-09 13:35:12 
888716, OK,131,287,1770,5380,8075,15643,135539, 4/2020,3,799.99,479.99,40, 2020-07-09 13:35:14 
321410, OK,154,362,2483,9313,14288,26600,121567, 6/2020,1,779.99,467.99,40, 2020-07-09 13:35:16 
965832, OK,122,310,2210,6646,9126,18414,83384, 6/2020,1,779.99,467.99,40, 2020-07-09 13:35:18 
648826, OK,288,544,3876,13952,23454,42114,230133, 7/2020,0,779.99,467.99,40, 2020-07-09 13:35:20 
1035472, OK,92,206,1466,5865,8424,16053,77356, 6/2020,1,779.99,467.99,40, 2020-07-09 13:35:22 
1154754, OK,43,57,302,783,1109,2294,55805, 6/2020,1,779.99,467.99,40, 2020-07-09 13:35:23 
627540, OK,80,100,386,941,1094,2601,14172, 2/2019,17,459.99,275.99,40, 2020-07-09 13:35:25 
301442, NoRates, NaN, NaN, NaN, NaN, NaN, NaN    , NaN    , 0/0, NaN , NaN, NaN, NaN , 2020-07-09 13:35:28 
640100, OK,32,55,521,1897,2946,5451,35916, 7/2020,0,599.99,359.99,40, 2020-07-09 13:35:29 
1247394, OK,23,49,140,307,373,892,4119, 5/2020,2,399.99,239.99,40, 2020-07-09 13:35:32 
260470, OK,65,46,277,969,2049,3406,27853, 6/2020,1,799.99,479.99,40, 2020-07-09 13:35:33 
1214702, OK,7,12,49,164,402,634,5633, 4/2020,3,379.99,227.99,40, 2020-07-09 13:35:35 
848664, OK,15,17,109,450,1412,2003,11490, 6/2020,1,599.99,359.99,40, 2020-07-09 13:35:37 
1142570, OK,0,0,6,7,8,21,1654, 8/2019,11, NaN, NaN, NaN , 2020-07-09 13:35:39 
325834, OK,8,8,18,47,114,195,14203, 6/2020,1,799.99,479.99,40, 2020-07-09 13:35:41 
411168, NoRates, NaN, NaN, NaN, NaN, NaN, NaN    , NaN    , 0/0, NaN , NaN, NaN, NaN , 2020-07-09 13:35:43 
885974, OK,7,7,32,62,64,172,28942, 2/2017,41,119.99,71.99,40, 2020-07-09 13:35:45 
1151092, OK,2,1,6,16,13,38,1302, 4/2017,39,799.99,479.99,40, 2020-07-09 13:35:47 
358326, NoRates, NaN, NaN, NaN, NaN, NaN, NaN    , NaN    , 0/0, NaN , NaN, NaN, NaN , 2020-07-09 13:35:49 
153210, OK,3,3,33,58,103,200,6154, 10/2015,57,799.99,479.99,40, 2020-07-09 13:35:51 
834836, OK,4,14,33,115,174,340,2527, 2/2019,17,579.99,347.99,40, 2020-07-09 13:35:53 
1171994, NoRates, NaN, NaN, NaN, NaN, NaN, NaN    , NaN    , 0/0, NaN , NaN, NaN, NaN , 2020-07-09 13:35:55 
1239068, OK,2,2,2,1,10,17,2553, 11/2019,8,79.99,47.99,40, 2020-07-09 13:35:57 
985922, OK,23,46,330,1232,1803,3434,19492, 11/2016,44,179.99,107.99,40, 2020-07-09 13:35:59 
765562, OK,21,35,217,707,845,1825,12016, 12/2019,7, NaN, NaN, NaN , 2020-07-09 13:36:01 
165964, NoRates, NaN, NaN, NaN, NaN, NaN, NaN    , NaN    , 0/0, NaN , NaN, NaN, NaN , 2020-07-09 13:36:02 
855172, OK,7,15,84,372,724,1202,16173, 4/2020,3,799.99,479.99,40, 2020-07-09 13:36:05 
258232, OK,36,57,219,791,1673,2776,19448, 6/2020,1,739.99,443.99,40, 2020-07-09 13:36:06 
994754, OK,10,16,130,493,680,1329,9387, 2/2020,5,799.99,479.99,40, 2020-07-09 13:36:08 
43319, OK,53,60,442,1556,2593,4704,28230, 12/2019,7, NaN, NaN, NaN , 2020-07-09 13:36:10 
408440, OK,42,47,217,561,733,1600,10844, 10/2019,9,499.99,299.99,40, 2020-07-09 13:36:12 
918688, OK,13,19,54,245,390,721,6607, 6/2020,1,799.99,479.99,40, 2020-07-09 13:36:14 
308694, OK,26,30,135,446,1124,1761,11928, 7/2020,0,739.99,443.99,40, 2020-07-09 13:36:16 
199450, NoRates, NaN, NaN, NaN, NaN, NaN, NaN    , NaN    , 0/0, NaN , NaN, NaN, NaN , 2020-07-09 13:36:17 
401784, OK,25,23,79,145,244,516,26295, 1/2020,6,379.99,227.99,40, 2020-07-09 13:36:19 
1122792, OK,5,2,4,22,25,58,2046, 3/2017,40,799.99,479.99,40, 2020-07-09 13:36:22 
709500, OK,15,17,39,90,167,328,3643, 9/2019,10,539.99,323.99,40, 2020-07-09 13:36:24 
285638, OK,32,36,224,637,1085,2014,43517, 7/2020,0,799.99,479.99,40, 2020-07-09 13:36:26 
