,course_id,title,url,is_paid,old_price,old_subscribers,num_reviews,num_lectures,level,duration,old_pub_date,subject,status,rating1,rating2,rating3,rating4,rating5,rating_tot,new_subscribers,new_pub_date,upd_month,new_price,curr_price,discount,timestamp,old_revenue,new_revenue,student_lect,lect_price,cum_new_subsc,cum_old_subsc,new_perc_subs,old_perc_subs,new_cat,old_cat
2397,993892,"Beginners Guitar Course - 'Try it and love it method""",https://www.udemy.com/beginners-guitar-course-try-it-and-love-it-method/,True,25,0,0,16,Beginner Level,2.0,2016-10-31T18:10:06Z,Musical Instruments,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 10/2016,45.0,99.99,59.99,40.0, 2020-07-09 15:37:41 ,0,0.0,0,1.5625,0.0,0.0,0.0,0.0,1,1
1622,1252410,Beginners Guide to Kindle Ebook Covers Design With Fireworks,https://www.udemy.com/beginners-guide-to-kindle-ebook-covers-design-with-fireworks/,True,20,0,0,16,All Levels,1.5,2017-06-19T19:26:46Z,Graphic Design,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0/0,,79.99,47.99,40.0, 2020-07-09 14:43:37 ,0,0.0,0,1.25,0.0,0.0,0.0,0.0,1,1
515,580068,Handle difficult questions the bank manager will ask you,https://www.udemy.com/handle-difficult-questions-the-bank-manager-will-ask-you/,True,20,2,0,12,All Levels,1.0,2015-09-04T20:03:24Z,Business Finance,OK,0.0,0.0,0.0,0.0,0.0,0.0,2.0, 9/2015,58.0,79.99,47.99,40.0, 2020-07-09 13:51:55 ,40,159.98,24,1.6666666666666667,8.096425840908956e-08,5.011350196833563e-06,8.096425840908956e-08,2.0454490599320665e-07,1,1
1017,1082352,Trading Basics in 30 minutes,https://www.udemy.com/trading-basics-in-30-minutes/,True,50,1,0,6,Beginner Level,0.5333333333333333,2017-02-26T21:59:25Z,Business Finance,OK,0.0,0.0,0.0,0.0,0.0,0.0,2.0, 2/2017,41.0,199.99,119.99,40.0, 2020-07-09 14:09:19 ,50,399.98,6,8.333333333333334,1.6192851681817913e-07,2.249993965925273e-06,8.096425840908956e-08,1.0227245299660332e-07,1,1
1566,1077836,Ecover Mastery in 30 Minutes with NO photoshop skills needed,https://www.udemy.com/ecover-mastery-in-30-minutes/,True,20,1,0,10,Beginner Level,0.6333333333333333,2017-01-23T21:55:40Z,Graphic Design,OK,0.0,1.0,0.0,0.0,0.0,1.0,3.0, 0/0,,79.99,47.99,40.0, 2020-07-09 14:41:28 ,20,239.96999999999997,10,2.0,2.8337490443181346e-07,1.943176606935463e-06,1.2144638761363436e-07,1.0227245299660332e-07,1,1
1552,1095488,Adobe photoshop The  Flying Land compositing,https://www.udemy.com/adobe-photoshop-the-flying-land-compositing/,True,70,2,0,23,All Levels,2.5,2017-02-20T16:40:15Z,Graphic Design,OK,0.0,0.0,0.0,0.0,0.0,0.0,4.0, 2/2017,41.0,279.99,167.99,40.0, 2020-07-09 14:40:57 ,140,1119.96,46,3.0434782608695654,4.4530342124999263e-07,2.7613562309082897e-06,1.6192851681817913e-07,2.0454490599320665e-07,1,1
1551,1228708,Learn Adobe Illustrator and Premiere Pro in 1 hour,https://www.udemy.com/learn-adobe-illustrator-and-premiere-pro-in-1-hour/,True,20,1,0,19,All Levels,1.0,2017-06-02T00:18:15Z,Graphic Design,OK,0.0,0.0,0.0,0.0,0.0,0.0,4.0, 6/2017,37.0,119.99,71.99,40.0, 2020-07-09 14:40:54 ,20,479.96,19,1.0526315789473684,6.072319380681718e-07,1.3295418889558433e-06,1.6192851681817913e-07,1.0227245299660332e-07,1,1
2254,212506,Ahora aprende a tocar jazz en el piano,https://www.udemy.com/ahora-aprende-a-tocar-jazz-en-el-piano/,True,30,4,0,9,All Levels,1.5,2014-05-09T19:55:55Z,Musical Instruments,OK,0.0,0.0,0.0,0.0,0.0,0.0,5.0, 5/2014,74.0,119.99,71.99,40.0, 2020-07-09 15:32:17 ,120,599.9499999999999,36,3.3333333333333335,8.096425840908957e-07,1.1147697376629763e-05,2.0241064602272392e-07,4.090898119864133e-07,1,1
2256,219878,Aprende a tocar el contrabajo sin complicaciones,https://www.udemy.com/aprende-a-tocar-el-contrabajo-sin-complicaciones/,True,50,3,1,20,All Levels,3.0,2014-05-19T17:02:52Z,Musical Instruments,OK,0.0,0.0,1.0,0.0,0.0,1.0,6.0, 0/0,,79.99,47.99,40.0, 2020-07-09 15:32:22 ,150,479.93999999999994,60,2.5,1.0525353593181643e-06,1.0022700393667126e-05,2.428927752272687e-07,3.0681735898981e-07,1,1
1462,436568,Diseño de logo para principiantes,https://www.udemy.com/logo_para_principiantes/,True,25,3,3,12,All Levels,0.6666666666666666,2015-03-23T17:37:40Z,Graphic Design,OK,0.0,0.0,3.0,0.0,0.0,3.0,7.0, 4/2015,63.0,79.99,47.99,40.0, 2020-07-09 14:37:30 ,75,559.93,36,2.0833333333333335,1.3359102637499779e-06,6.647709444779216e-06,2.8337490443181346e-07,3.0681735898981e-07,1,1
1561,1047750,Photoshop CC Training - Creating Fantastic Album Cover Art,https://www.udemy.com/photoshop-cc-training-creating-fantastic-album-cover-art/,True,50,1,0,8,All Levels,1.0,2016-12-21T19:40:11Z,Graphic Design,OK,0.0,0.0,0.0,1.0,0.0,1.0,7.0, 3/2017,40.0,199.99,119.99,40.0, 2020-07-09 14:41:18 ,50,1399.93,8,6.25,1.6192851681817914e-06,1.5340867949490498e-06,2.8337490443181346e-07,1.0227245299660332e-07,1,1
1548,1068664,Create a Majestic Bear on Adobe Illustrator,https://www.udemy.com/bear-adobe-illustrator/,True,55,3,0,10,All Levels,1.0,2017-05-02T20:44:42Z,Graphic Design,OK,0.0,0.0,0.0,0.0,0.0,0.0,7.0, 1/2017,42.0,219.99,131.99,40.0, 2020-07-09 14:40:47 ,165,1539.93,30,5.5,1.9026600726136049e-06,7.568161521748646e-06,2.8337490443181346e-07,3.0681735898981e-07,1,1
518,826912,Six Stage Negotiation,https://www.udemy.com/six-stage-negotiation-for-cash-collection/,True,30,1,0,21,All Levels,2.5,2016-05-11T17:08:03Z,Business Finance,OK,0.0,0.0,0.0,0.0,0.0,0.0,7.0, 5/2016,50.0,119.99,71.99,40.0, 2020-07-09 13:52:06 ,30,839.93,21,1.4285714285714286,2.1860349770454184e-06,5.113622649830167e-07,2.8337490443181346e-07,1.0227245299660332e-07,1,1
583,904240,A Guide To Trade Binary Options Like An Expert,https://www.udemy.com/a-guide-to-trade-binary-options-like-an-expert/,True,55,4,0,21,All Levels,1.0,2016-07-18T21:48:10Z,Business Finance,OK,0.0,0.0,0.0,0.0,0.0,0.0,7.0, 7/2016,48.0,219.99,131.99,40.0, 2020-07-09 13:54:19 ,220,1539.93,84,2.619047619047619,2.4694098814772317e-06,1.319314643656183e-05,2.8337490443181346e-07,4.090898119864133e-07,1,1
