,new_cat,old_cat,course_id,title,url,old_price,old_subscribers,num_lectures,level,subject,new_subscribers,new_price,timestamp,old_revenue,new_revenue,hours_watched,price_per_lecture
2478,2,3,28295,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,https://www.udemy.com/build-beautiful-html5-website/,75,43285,24,All Levels,Web Development,46382.0,299.99, 2020-07-09 15:44:57 ,3246375,13914136.18,1038840,3.125
2479,2,3,19603,Learning Dynamic Website Design - PHP MySQL and JavaScript,https://www.udemy.com/learning-dynamic-website-design/,50,47886,125,All Levels,Web Development,48572.0,199.99, 2020-07-09 15:44:59 ,2394300,9713914.280000001,5985750,0.4
3228,2,3,719002,Angular 2 with TypeScript for Beginners: The Pragmatic Guide,https://www.udemy.com/angular-2-tutorial-for-beginners/,150,40070,194,All Levels,Web Development,61481.0,639.99, 2020-07-09 16:36:47 ,6010500,39347225.19,7773580,0.7731958762886598
3205,2,3,80940,Build Websites from Scratch with HTML & CSS,https://www.udemy.com/build-website-scratch/,145,51257,77,Beginner Level,Web Development,62172.0,579.99, 2020-07-09 16:35:59 ,7432265,36059138.28,3946789,1.8831168831168832
3291,2,3,94432,Learn PHP Fundamentals From Scratch,https://www.udemy.com/learn-php-fundamentals-from-scratch/,0,48650,9,Beginner Level,Web Development,64194.0,79.99, 2020-07-09 16:39:22 ,0,5134878.06,437850,0.0
2701,2,3,11174,Become a Web Developer from Scratch,https://www.udemy.com/how-to-become-a-web-developer-from-scratch/,120,69186,197,All Levels,Web Development,70857.0,199.99, 2020-07-09 16:18:58 ,8302320,14170691.430000002,13629642,0.6091370558375635
2662,2,3,556248,The Complete HTML & CSS Course - From Novice To Professional,https://www.udemy.com/htmlwebsite/,195,57422,84,All Levels,Web Development,72096.0,799.99, 2020-07-09 16:17:43 ,11197290,57676079.04,4823448,2.3214285714285716
3175,2,3,580466,Complete PHP Course With Bootstrap3 CMS System & Admin Panel,https://www.udemy.com/complete-php-course/,195,55332,144,All Levels,Web Development,73802.0,799.99, 2020-07-09 16:34:55 ,10789740,59040861.980000004,7967808,1.3541666666666667
143,2,3,48841,Accounting in 60 Minutes - A Brief Introduction,https://www.udemy.com/accounting-in-60-minutes-a-brief-introduction/,0,56659,16,Beginner Level,Business Finance,79145.0,139.99, 2020-07-09 13:38:44 ,0,11079508.55,906544,0.0
3246,2,3,289230,Learn and Understand AngularJS,https://www.udemy.com/learn-angularjs/,175,59361,55,All Levels,Web Development,83907.0,699.99, 2020-07-09 16:37:23 ,10388175,58734060.93,3264855,3.1818181818181817
1286,3,3,17349,Figure Drawing From Life Using The Reilly Technique.,https://www.udemy.com/figure-drawing-from-life-using-the-reilly-technique/,0,47811,22,All Levels,Graphic Design,94569.0,0.0, 2020-07-09 14:27:43 ,0,0.0,1051842,0.0
492,3,3,49798,Bitcoin or How I Learned to Stop Worrying and Love Crypto,https://www.udemy.com/bitcoin-or-how-i-learned-to-stop-worrying-and-love-crypto/,0,65576,24,All Levels,Business Finance,95735.0,0.0, 2020-07-09 13:50:50 ,0,0.0,1573824,0.0
2550,3,2,787236,"Build Responsive Website Using HTML5, CSS3, JS And Bootstrap",https://www.udemy.com/build-responsive-website-using-html5-css3-js-and-bootstrap/,95,22623,73,All Levels,Web Development,97605.0,379.99, 2020-07-09 15:47:36 ,2149185,37088923.95,1651479,1.3013698630136987
2004,3,3,41884,Getting Started with Playing Guitar,https://www.udemy.com/getting-started-with-playing-guitar/,0,47652,26,Beginner Level,Musical Instruments,97911.0,0.0, 2020-07-09 15:20:53 ,0,0.0,1238952,0.0
3251,3,3,461160,Learn and Understand NodeJS,https://www.udemy.com/understand-nodejs/,195,58208,98,All Levels,Web Development,101247.0,779.99, 2020-07-09 16:37:32 ,11350560,78971647.53,5704384,1.989795918367347
119,3,2,151668,Introduction to Financial Modeling,https://www.udemy.com/financial-modeling-asimplemodel/,0,29167,8,Intermediate Level,Business Finance,101296.0,0.0, 2020-07-09 13:37:58 ,0,0.0,233336,0.0
